"filename", "language", "Go", "comment", "blank", "total"
"c:\Users\dboyn\plexichat\plexichat-client\pkg\client\client.go", "Go", 392, 47, 85, 524
"c:\Users\dboyn\plexichat\plexichat-client\pkg\client\types.go", "Go", 295, 45, 44, 384
"Total", "-", 687, 92, 129, 908
